dp,case_name,status,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,criterion_mode,criterion_class,criterion_reference_time_s,moved,rotated,flow_gauge_id,water_gauge_id,sim_time_s,n_timesteps,n_particles,mem_gpu_mb,mem_gpu_cells_mb,tiempo_min,family,group,prefix,source_csv,mu,disp_pct_deq,failed,disp_mm,disp_margin_mm,evidence_scope
0.002,conv_edge_f0675_full_dp0002,OK,0.0022642875259114,7.587828987227177,0.0698224836925757,8.521031568625304,12958.020818585685,0.7615469563694481,0.0652479,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999017,9500,51862438,9907.530849456787,762.1535110473633,1140.3578155358632,conv_edge,edge_grid,conv_edge_f0675_full,conv_edge_f0675_full.csv,0.675,2.254804386984933,0.0,2.2642875259114,-2.7567624740886,principal_frontier
0.003,conv_edge_f0675_full_dp0003,OK,0.0060155878349502,5.332407382314178,0.0999956335196692,8.287064993938506,10767.29615584203,0.7639283615056732,0.068382,displacement_only,FALLO,0.500009,True,True,V05,hmax03,9.999012,9500,17525854,3338.452796936035,247.95160675048828,249.59591445128123,conv_edge,edge_grid,conv_edge_f0675_full,conv_edge_f0675_full.csv,0.675,5.990393748726357,1.0,6.0155878349502006,0.9945378349502008,principal_frontier
0.004,conv_edge_f0675_full_dp0004,OK,0.0093127940490486,5.564002697851365,0.0999997783047542,16.3481157443725,2777.646385206908,0.7609789626331089,0.0678352,displacement_only,FALLO,0.500036,True,True,V05,hmax03,9.999023,9500,8152043,1557.2743377685547,119.73717498779295,89.92929456233978,conv_edge,edge_grid,conv_edge_f0675_full,conv_edge_f0675_full.csv,0.675,9.273790822315895,1.0,9.3127940490486,4.2917440490486,principal_frontier
0.005,conv_edge_f0675_full_dp0005,OK,0.0046912975816929,3.663180170987261,0.0999997783047542,10.574655743526597,10523.204966179504,0.8088810943123841,0.0715019,displacement_only,ESTABLE,0.50001,False,False,V05,hmax03,9.99904,9500,4691009,937.5024528503418,110.27845001220705,48.268095012505846,conv_edge,edge_grid,conv_edge_f0675_full,conv_edge_f0675_full.csv,0.675,4.671649800126419,0.0,4.6912975816929,-0.3297524183071001,principal_frontier
0.002,conv_edge_f0680_full_dp0002,OK,0.0033294579138354,7.908436621770911,0.0698022756290939,7.999537104206781,12933.214341721086,0.7759892181076036,0.0651282,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999001,9500,51862438,9907.04787826538,761.670539855957,1144.1646167119345,conv_edge,edge_grid,conv_edge_f0680_full,conv_edge_f0680_full.csv,0.68,3.315513698895612,0.0,3.3294579138354,-1.6915920861646,principal_frontier
0.003,conv_edge_f0680_full_dp0003,OK,0.0081214610754467,5.864659461299195,0.0999966822049611,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,displacement_only,FALLO,0.500009,True,True,V05,hmax03,9.999014,9500,17525854,3338.452796936035,247.95160675048828,249.3476829012235,conv_edge,edge_grid,conv_edge_f0680_full,conv_edge_f0680_full.csv,0.68,8.08744731050584,1.0,8.1214610754467,3.1004110754467,principal_frontier
0.004,conv_edge_f0680_full_dp0004,OK,0.0068188477032411,4.958903960861383,0.0999997783047542,16.481610476664592,2806.890282749933,0.8222827518225467,0.0683677,displacement_only,FALLO,0.500036,True,False,V05,hmax03,9.999022,9500,8152043,1557.2743377685547,119.73717498779295,89.14602841933568,conv_edge,edge_grid,conv_edge_f0680_full,conv_edge_f0680_full.csv,0.68,6.790289457281366,1.0,6.8188477032411,1.7977977032411,principal_frontier
0.005,conv_edge_f0680_full_dp0005,OK,0.0052652039846527,3.667883911360865,0.0999997783047542,10.101822005332751,10523.204966179504,0.8090463798547027,0.0712259,displacement_only,FALLO,0.50001,True,False,V05,hmax03,9.999032,9500,4691009,937.5024528503418,110.27845001220705,48.14907657702764,conv_edge,edge_grid,conv_edge_f0680_full,conv_edge_f0680_full.csv,0.68,5.243152606331001,1.0,5.2652039846527,0.2441539846527005,principal_frontier
0.002,conv_edge_f0681_full_dp0002,OK,0.0018363357536135,7.123978925154969,0.0698536397548474,8.401850054810607,12983.959338006262,0.7402254802030594,0.0649188,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999018,9500,51862438,9907.530849456787,762.1535110473633,1134.1026217023532,conv_edge,edge_grid,conv_edge_f0681_full,conv_edge_f0681_full.csv,0.681,1.828644933932719,0.0,1.8363357536135,-3.1847142463865,principal_frontier
0.003,conv_edge_f0681_full_dp0003,OK,0.0042962910748693,5.203381145335124,0.0999976809431098,8.352211079012312,10752.83374056948,0.7298531669072721,0.0682437,displacement_only,ESTABLE,0.500009,False,True,V05,hmax03,9.999014,9500,17525854,3338.452796936035,247.95160675048828,249.0064907948176,conv_edge,edge_grid,conv_edge_f0681_full,conv_edge_f0681_full.csv,0.681,4.278297633371513,0.0,4.2962910748693,-0.7247589251306996,principal_frontier
