mu,metric,step,rel_change_pct
0.675,desplazamiento,0.005→0.004,98.51211497199422
0.675,desplazamiento,0.004→0.003,-35.4051232823644
0.675,desplazamiento,0.003→0.002,-62.359663127914814
0.675,rotación,0.005→0.004,51.889954578778315
0.675,rotación,0.004→0.003,-4.162386830377
0.675,rotación,0.003→0.002,42.29649843321202
0.675,velocidad,0.005→0.004,0.0
0.675,velocidad,0.004→0.003,-0.004144794273820337
0.675,velocidad,0.003→0.002,-30.17446738927698
0.675,fuerza SPH,0.005→0.004,54.59714378295668
0.675,fuerza SPH,0.004→0.003,-49.30874527976623
0.675,fuerza SPH,0.003→0.002,2.8232742817623717
0.68,desplazamiento,0.005→0.004,29.50775930271854
0.68,desplazamiento,0.004→0.003,19.103130453938245
0.68,desplazamiento,0.003→0.002,-59.00420031684584
0.68,rotación,0.005→0.004,35.19795284419243
0.68,rotación,0.004→0.003,18.265235777634995
0.68,rotación,0.003→0.002,34.849033843457974
0.68,velocidad,0.005→0.004,0.0
0.68,velocidad,0.004→0.003,-0.0030961066570335803
0.68,velocidad,0.003→0.002,-30.19540839762899
0.68,fuerza SPH,0.005→0.004,63.154829573951616
0.68,fuerza SPH,0.004→0.003,-49.19681513007815
0.68,fuerza SPH,0.003→0.002,-4.462412131785012
0.681,desplazamiento,0.005→0.004,23.435288681825334
0.681,desplazamiento,0.004→0.003,-41.66262216023297
0.681,desplazamiento,0.003→0.002,-57.257650340430956
0.681,rotación,0.005→0.004,24.991634958481196
0.681,rotación,0.004→0.003,-2.924797924714618
0.681,rotación,0.003→0.002,36.910572686793806
0.681,velocidad,0.005→0.004,0.0
0.681,velocidad,0.004→0.003,-0.002097366294162802
0.681,velocidad,0.003→0.002,-30.14474026193848
0.681,fuerza SPH,0.005→0.004,37.162999608789455
0.681,fuerza SPH,0.004→0.003,-49.26616131983043
0.681,fuerza SPH,0.003→0.002,0.5943213758453695
0.685,desplazamiento,0.005→0.004,94.25875525910172
0.685,desplazamiento,0.004→0.003,-63.28506656094652
0.685,desplazamiento,0.003→0.002,-47.880027572610864
0.685,rotación,0.005→0.004,44.12931145846742
0.685,rotación,0.004→0.003,-14.665189209952421
0.685,rotación,0.003→0.002,56.15543471629481
0.685,velocidad,0.005→0.004,0.0
0.685,velocidad,0.004→0.003,0.0007493605148905865
0.685,velocidad,0.003→0.002,-30.121943853306327
0.685,fuerza SPH,0.005→0.004,56.84473382144243
0.685,fuerza SPH,0.004→0.003,-49.956183107605874
0.685,fuerza SPH,0.003→0.002,9.223424151273349
