family,family_label,case_id,dam_height,hydraulic_case_id,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,boulder_mass,mstar,friction_coefficient,criterion_class,disp_pct_deq,margin_pct,max_displacement_m,max_rotation_deg,max_velocity_ms,source_csv
batch4,Batch 4 masa,batch4_mass_m085_H0175_mu0560,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,0.85,0.85,0.56,FALLO,5.460130267769664,-0.4601302677696637,0.005483094199446,5.299897422701339,0.0999976809431098,exports\batch4_mass_probe_20260513\batch4_summary.csv
al4,AL4,al4_lowH_m085_mu0566,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,0.85,0.85,0.566,ESTABLE,2.0116654284203315,2.9883345715796685,0.0020201259861704,4.516046379130723,0.0999956335196692,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al3,AL3,al3_lowH_m085_mu0572,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,0.85,0.85,0.572,ESTABLE,1.7667856065328862,3.233214393467114,0.0017742237739363,4.780428447188029,0.0999956335346699,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al2,AL2,al2_lowH_m085_mu0585,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,0.85,0.85,0.585,ESTABLE,1.4724052453305536,3.5275947546694466,0.0014786040714133,4.85758608004276,0.0999976809431098,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al1,AL1,al1_lowH_m085_mu0620,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,0.85,0.85,0.62,ESTABLE,1.23228811452592,3.76771188547408,0.0012374708077364,4.100690882481269,0.0999946347810721,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch4,Batch 4 masa,batch4_mass_m085_H0200_mu0682,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.682,FALLO,50.13435690612936,-45.13435690612936,0.0503452093748745,11.27717887295702,0.1021401684793989,exports\batch4_mass_probe_20260513\batch4_summary.csv
al1,AL1,al1_base_m085_mu0780,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.78,FALLO,7.640228300516158,-2.640228300516158,0.0076723611750228,6.09278432043761,0.1003360992514658,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
al4,AL4,al4_base_m085_mu0790,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.79,FALLO,6.175509123586105,-1.1755091235861048,0.0062014817584182,5.4405802646869805,0.1003419590301086,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al5,AL5,al5_base_m085_mu0795,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.795,FALLO,7.299647467988183,-2.2996474679881835,0.0073303479453569,5.966550144860985,0.1003449130050945,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al6,AL6,al6_base_m085_mu07975,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.7975,FALLO,7.119984510029122,-2.1199845100291217,0.0071499293702809,5.568000988122372,0.1003410081771156,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al3,AL3,al3_base_m085_mu0800,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.8,ESTABLE,4.852578136292625,0.1474218637073754,0.0048730074902464,5.485664522085381,0.1003312385800155,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al2,AL2,al2_base_m085_mu0820,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.82,ESTABLE,2.2797116982289385,2.720288301771061,0.0022893092844784,4.872577971080158,0.1002424058420387,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
