case_name,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,case_id,max_rotation_deg,max_velocity_ms,stage,stage_label,stage_order,source_csv,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_reached_s,n_timesteps,flow_gauge_id,water_gauge_id,n_particles,max_particles,mem_gpu_gib,run_ttotal_s,run_physical_time_s,status,failed,max_displacement_mm,quality_flags
dp002_refine_midH_m115_mu06400,0.002,0.21,1.15,0.0,0.64,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0026610636970952,2.661063697095293,2.649918806509126,2.359965042650981,2.350081193490874,,,,,,,dp002_refine_midH_m115_mu06400,7.265364101953491,0.0717547103192536,refine,Refinamiento,1,exports\dp002_refine_uncertainty_20260607\dp002_refine_summary.csv,8.644890054594333,22177.49852109565,0.7840872734273124,0.0662423,9.999006,9500.0,V05,hmax03,53733688.0,53733688.0,9.998,74143.594,10.000013,,,,
dp002_midH_m115_mu06525,0.002,0.21,1.15,0.0,0.6525,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0024335971318191,2.433597131819158,2.423394640383145,2.5874528681808417,2.5766053596168548,7.713448822936933,0.0694356433973215,8.478031405071345,22663.62862875449,0.7597311720575641,0.0650771,dp002_midH_m115_mu06525,7.713448822936933,0.0694356433973215,checks_base,Checks base,0,exports\dp002_checks_after_al8_20260603\dp002_checks_summary.csv,,,,,,,,,,,,,,,,,
dp002_midH_m115_mu06675,0.002,0.21,1.15,0.0,0.6675,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0019317217708561,1.9317217708561127,1.9236233166928365,3.089328229143887,3.0763766833071635,7.404155455841436,0.0779124792122545,8.339701805760741,22718.87613500721,0.841552834064279,0.0665297,dp002_midH_m115_mu06675,7.404155455841436,0.0779124792122545,checks_base,Checks base,0,exports\dp002_checks_after_al8_20260603\dp002_checks_summary.csv,,,,,,,,,,,,,,,,,
,0.002,0.21,1.25,0.0,0.57,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0047514680889169,4.751468088916949,4.7315683052205095,,0.2684316947794904,,,,,,,dp002_extra_midH_m125_mu05700,8.153345097861145,0.0695932467844402,extra,Checks extra,3,exports\dp002_extra_uncertainty_2cases_20260616\dp002_extra_uncertainty_summary.csv,8.45794751483958,23610.740740063626,0.8256910108393091,0.0658053,9.999004,9500.0,,,,,,,,OK,False,4.751468088916949,rotacion_diagnostica; cerca_umbral
dp002_refine_midH_m125_mu05750,0.002,0.21,1.25,0.0,0.575,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0047736833786915,4.773683378691553,4.753690554391031,0.2473453610547212,0.2463094456089694,,,,,,,dp002_refine_midH_m125_mu05750,8.187960081830836,0.0775967976529959,refine,Refinamiento,1,exports\dp002_refine_uncertainty_20260607\dp002_refine_summary.csv,8.42810660706312,24305.4467531642,0.7661684411069987,0.0670697,9.999007,9500.0,V05,hmax03,53733688.0,53733688.0,9.998,74334.305,10.000005,,,,
dp002_midH_m125_mu05900,0.002,0.21,1.25,0.0,0.59,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0022143136634179,2.2143136634179545,2.2050304850757856,2.806736336582045,2.7949695149242144,7.378731429690069,0.0690751061164584,8.599355870230282,25007.00308874496,0.7478096475889034,0.0663306,dp002_midH_m125_mu05900,7.378731429690069,0.0690751061164584,checks_base,Checks base,0,exports\dp002_checks_after_al8_20260603\dp002_checks_summary.csv,,,,,,,,,,,,,,,,,
dp002_midH_m125_mu06000,0.002,0.21,1.25,0.0,0.6,20.0,displacement_only,0.500002,ESTABLE,0,1,0.0020429052841475,2.0429052841475785,2.0343407097594914,2.978144715852421,2.965659290240509,7.581903390079935,0.0777638121557836,8.645939406515408,24086.214473903947,0.7582861877013108,0.0661807,dp002_midH_m125_mu06000,7.581903390079935,0.0777638121557836,checks_base,Checks base,0,exports\dp002_checks_after_al8_20260603\dp002_checks_summary.csv,,,,,,,,,,,,,,,,,
dp002_refine_highH_m100_mu08500,0.002,0.225,1.0,0.0,0.85,20.0,displacement_only,0.500014,FALLO,1,1,0.0069710454739584,6.971045473958477,6.941849803383861,-1.950016734212203,-1.9418498033838607,,,,,,,dp002_refine_highH_m100_mu08500,9.203361858490757,0.0709055312793014,refine,Refinamiento,1,exports\dp002_refine_uncertainty_20260607\dp002_refine_summary.csv,9.403658070889271,2864.416805775479,0.842738040912278,0.068872,9.999006,9500.0,V05,hmax03,56727688.0,56727688.0,10.525,82771.461,10.000013,,,,
dp002_close_highH_m100_mu08535,0.002,0.225,1.0,0.0,0.8535,20.0,displacement_only,0.500014,FALLO,1,1,0.0059467228790315,5.946722879031563,5.921817208451259,-0.9256941392852892,-0.9218172084512588,,,,,,,dp002_close_highH_m100_mu08535,8.976728032127358,0.0708397564225061,close_highH_m100,Cierre H=0.225 m*=1.00,2,exports\dp002_close_highH_m100_bracket_20260614\dp002_close_highH_m100_summary.csv,9.912510381454137,2898.4455026494807,0.8591738834388765,0.0690079,9.999014,9500.0,V05,hmax03,56727688.0,56727688.0,10.525,83386.117,10.000004,,,,
dp002_close_highH_m100_mu08570,0.002,0.225,1.0,0.0,0.857,20.0,displacement_only,0.500014,FALLO,1,1,0.00637603497481,6.376034974810077,6.349331287767409,-1.3550062350638024,-1.3493312877674093,,,,,,,dp002_close_highH_m100_mu08570,7.970922906493444,0.0708185985882239,close_highH_m100,Cierre H=0.225 m*=1.00,2,exports\dp002_close_highH_m100_bracket_20260614\dp002_close_highH_m100_summary.csv,9.52532591188165,2901.731226117436,0.8176940908350524,0.0692543,9.999014,9500.0,V05,hmax03,56727688.0,56727688.0,10.525,82867.727,10.000002,,,,
