case_id,status,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,output_path,quality_flags,notas,batch,source_file,case_name,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance,disp_mm,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,disp_pct_deq_unified,margin_train_pct_deq,class_from_margin,is_partial_or_diagnostic,is_official,selection_reason,used_for_gp
batch4_mass_m085_H0175_mu0560,OK_SQLITE,0.003,0.175,0.85,0.0,0.56,20.0,displacement_only,0.500003,FALLO,1,1,0.005483094199446,5.460130267769664,5.299897422701339,0.0999976809431098,8.779646335853684,24286.046406597863,0.7555150506692835,0.0664387,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m085_H0175_mu0560,,,9500.0,,1,5.460130267769664,9.99901,V05,0.0682721222315522,hmax03,1.229420174095903,,,-0.4601302677696637,,,,,,,5.460130267769664,-0.4601302677696637,FALLO,False,True,included,True
al3_lowH_m085_mu0572,,0.003,0.175,0.85,0.0,0.572,20.0,displacement_only,0.500003,ESTABLE,0,0,0.0017742237739363,1.7667856065328862,,,,,,,,,,,,,al3,exports/al_batch3_gp_after_al2_20260518/al_batch3_summary.csv,al3_lowH_m085_mu0572,,,,,,,,,,,,1.7742237739363895,3.24682622606361,3.233214393467114,4.780428447188029,0.0999956335346699,9.017050746918308,24305.72875968176,0.726220770085826,0.0659583,1.7667856065328862,3.233214393467114,ESTABLE,False,True,included,True
al2_lowH_m085_mu0585,,0.003,0.175,0.85,0.0,0.585,20.0,displacement_only,0.500003,ESTABLE,0,0,0.0014786040714133,1.4724052453305536,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_lowH_m085_mu0585,,,,,,,,,,,,1.478604071413395,3.542445928586605,3.5275947546694466,4.85758608004276,0.0999976809431098,8.760070357292857,24317.59570495383,0.7290810842148698,0.0658005,1.4724052453305536,3.5275947546694466,ESTABLE,False,True,included,True
al1_lowH_m085_mu0620,OK_SQLITE,0.003,0.175,0.85,0.0,0.62,20.0,displacement_only,0.500003,ESTABLE,0,0,0.0012374708077364,1.23228811452592,4.100690882481269,0.0999946347810721,8.754595291249961,24216.04404758605,0.7055652735233502,0.0664425,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_lowH_m085_mu0620,,,9500.0,,0,1.23228811452592,9.99902,V05,0.0682721222315522,hmax03,1.229420174095903,,,3.76771188547408,,,,,,,1.23228811452592,3.76771188547408,ESTABLE,False,True,included,True
batch3_lowH_mu0600,OK,0.003,0.175,1.0,0.0,0.6,20.0,displacement_only,0.500003,ESTABLE,False,False,0.0012374477766758,1.232265179922457,4.823487100363921,0.0999955836274782,8.773712172337602,28587.38480737096,0.6842668316708329,0.066937,213.68997396666663,16031854.0,3070.0230407714844,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0600,,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_lowH_mu0600,-3.767734820077543,9.999008,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,3.7677348200775427,,,,,,,1.232265179922457,3.7677348200775427,ESTABLE,False,True,included,True
batch3_lowH_mu0640,OK,0.003,0.175,1.0,0.0,0.64,20.0,displacement_only,0.500003,ESTABLE,False,False,0.001237494646453,1.2323118534027673,4.939401915083683,0.0999956335346699,8.779234702552381,28525.445575361817,0.7453660133625359,0.0663773,214.1163737,16031854.0,3070.0230407714844,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0640,,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_lowH_mu0640,-3.7676881465972327,9.999009,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,3.7676881465972327,,,,,,,1.2323118534027673,3.7676881465972327,ESTABLE,False,True,included,True
batch3_lowH_mu0660,OK,0.003,0.175,1.0,0.0,0.66,20.0,displacement_only,0.500003,ESTABLE,False,False,0.001237647364963,1.232463932307225,4.5307031224669325,0.0999945848583812,8.803778414154005,28412.417943449884,0.7265542056488146,0.0660636,210.55159505,16031854.0,3070.111618041992,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0660,,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_lowH_mu0660,-3.767536067692775,9.999023,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,3.7675360676927747,,,,,,,1.232463932307225,3.7675360676927747,ESTABLE,False,True,included,True
batch2_h0175_mu0680,OK,0.003,0.175,1.0,0.0,0.68,20.0,displacement_only,0.500003,ESTABLE,False,False,0.001237647364963,1.232463932307225,4.562662923130252,0.0999966822049611,8.776384348920061,28350.94983383084,0.7235108104950748,0.0657646,213.65810546666668,16031854.0,3070.111618041992,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_h0175_mu0680,,,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,batch2_h0175_mu0680,-3.767536067692775,,,,,,,,,,,,,3.7675360676927747,,,,,,,1.232463932307225,3.7675360676927747,ESTABLE,False,True,included,True
batch4_mass_m115_H0175_mu0640,OK_SQLITE,0.003,0.175,1.15,0.0,0.64,20.0,displacement_only,0.500003,ESTABLE,0,0,0.001237494646453,1.2323118534027673,4.123986098141169,0.0999945349606667,8.783738172784124,32804.27757811425,0.7291393256689698,0.0662141,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m115_H0175_mu0640,,,9500.0,,0,1.2323118534027673,9.999016,V05,0.0682721222315522,hmax03,1.229420174095903,,,3.7676881465972327,,,,,,,1.2323118534027673,3.7676881465972327,ESTABLE,False,True,included,True
batch4_mass_m085_H0200_mu0682,OK_SQLITE,0.003,0.2,0.85,0.0,0.682,20.0,displacement_only,0.500009,FALLO,1,1,0.0503452093748745,50.13435690612936,11.27717887295702,0.1021401684793989,9.285439414897716,9137.759473683907,0.7589539446798429,0.0679143,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m085_H0200_mu0682,,,9500.0,,1,50.13435690612936,9.999013,V05,0.0682724043007129,hmax03,1.2294201683675927,,,-45.13435690612936,,,,,,,50.13435690612936,-20.0,FALLO,False,True,included,True
