family,family_label,source_csv,case_id,status,is_official,is_partial,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,family_order,margin_pct
pilot,Piloto,exports\pilot_productivo_20260501\pilot_summary.csv,prod_pilot_fail_low_mu,OK,True,False,0.003,0.2,1.0,0.0,0.6,20.0,displacement_only,0.500009,FALLO,0.0425578396,42.5578396,42.3796,-37.5367896,-37.3796,10.67676,0.09999663,7.907165,10844.9432,0.7536371,0.0677817,249.6686,17525854.0,3338.543,0,-37.3796
pilot,Piloto,exports\pilot_productivo_20260501\pilot_summary.csv,prod_pilot_slope_check,OK,True,False,0.003,0.2,1.0,0.0,0.68,10.0,displacement_only,0.500009,ESTABLE,0.00142622719,1.42622719,1.420254,3.5948228099999997,3.579746,7.427412,0.09999258,9.318593,10799.7508,0.7698438,0.116904,252.3756,17079586.0,3156.825,0,3.579746
pilot,Piloto,exports\pilot_productivo_20260501\pilot_summary.csv,prod_pilot_frontier,OK,True,False,0.003,0.2,1.0,0.0,0.6806,20.0,displacement_only,0.500009,FALLO,0.00504214795,5.04214795,5.021031,-0.021097950000000587,-0.0210309999999998,5.07661,0.09999668,9.175133,10753.7615,0.8166953,0.0679667,249.3627,17525854.0,3338.543,0,-0.0210309999999998
pilot,Piloto,exports\pilot_productivo_20260501\pilot_summary.csv,prod_pilot_stable_high_mu,OK,True,False,0.003,0.2,1.0,0.0,0.75,20.0,displacement_only,0.500009,ESTABLE,0.00123683669,1.2368366899999998,1.231657,3.78421331,3.7683429999999998,4.461535,0.1002541,8.885389,10672.1232,0.7316807,0.0677404,249.0484,17525854.0,3338.543,0,3.7683429999999998
pilot,Piloto,exports\pilot_productivo_20260501\pilot_summary.csv,prod_pilot_stronger_hydraulic,OK,True,False,0.003,0.25,1.0,0.0,0.3,20.0,displacement_only,0.500001,FALLO,1.34718207,1347.1820699999998,1341.54,-1342.1610199999998,-1336.54,55.77997,0.7210935,9.956533,151389.383,0.9426213,0.0743061,324.9678,20169198.0,3817.006,0,-1336.54
batch2,Batch 2,exports\batch2_productivo_20260505\batch2_summary.csv,batch2_h0175_mu0680,OK,True,False,0.003,0.175,1.0,0.0,0.68,20.0,displacement_only,0.500003,ESTABLE,0.001237647364963,1.237647364963,1.232463932307225,3.7834026350369996,3.7675360676927747,4.562662923130252,0.0999966822049611,8.776384348920061,28350.94983383084,0.7235108104950748,0.0657646,213.65810546666668,16031854.0,3070.111618041992,1,3.7675360676927747
batch2,Batch 2,exports\batch2_productivo_20260505\batch2_summary.csv,batch2_slope10_mu0600,OK,True,False,0.003,0.2,1.0,0.0,0.6,10.0,displacement_only,0.500009,ESTABLE,0.0015112448511082,1.5112448511082002,1.5049155555964768,3.5098051488917994,3.495084444403523,7.598206403962069,0.0999970585017379,9.576117965747498,10883.924934041956,0.824107556068381,0.11762,254.7965983,17079586.0,3156.824546813965,1,3.495084444403523
batch2,Batch 2,exports\batch2_productivo_20260505\batch2_summary.csv,batch2_slope10_mu0650,OK,True,False,0.003,0.2,1.0,0.0,0.65,10.0,displacement_only,0.500009,ESTABLE,0.001426499912373,1.426499912373,1.4205255399963936,3.594550087627,3.579474460003606,7.439596761721292,0.0999959639835528,11.080359860022776,10842.897777512286,0.7677630205542658,0.113772,255.28277995,17079586.0,3156.824546813965,1,3.579474460003606
batch2,Batch 2,exports\batch2_productivo_20260505\batch2_summary.csv,batch2_base_mu0675,OK,True,False,0.003,0.2,1.0,0.0,0.675,20.0,displacement_only,0.500009,FALLO,0.0060155878349502,6.0155878349502006,5.990393748726357,-0.9945378349502008,-0.9903937487263574,5.332407382314178,0.0999956335196692,8.287064993938506,10767.29615584203,0.7639283615056732,0.068382,250.38850911666665,17525854.0,3338.452796936035,1,-0.9903937487263574
batch2,Batch 2,exports\batch2_productivo_20260505\batch2_summary.csv,batch2_base_mu0685,OK,True,False,0.003,0.2,1.0,0.0,0.685,20.0,displacement_only,0.500009,ESTABLE,0.0037975072086827,3.7975072086827,3.7816027407111488,1.2235427913172998,1.2183972592888512,4.759904150549482,0.1000005276636078,8.246558916542098,10741.719666077355,0.7612354979952262,0.0681774,253.8906412833333,17525854.0,3338.543342590332,1,1.2183972592888512
